id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
1	behaviour	-0.8587	-0.3301	3	13	33	3	2014
2	better understanding	0.2284	-0.7347	4	12	24	2	2013
3	black box	-0.2379	-0.005	3	37	269	21	2015.7619
4	classification	0.0203	-0.3944	4	35	376	33	2016.697
5	complexity	0.4627	0.0375	1	24	97	8	2018
6	comprehensibility	0.7559	0.2534	1	15	31	3	2013.3333
7	counterfactual	0.3691	0.7909	1	10	46	6	2020.1667
8	data	0.5843	-0.255	5	43	707	56	2016.125
9	decision	0.3154	0.5708	1	25	274	25	2019.08
10	depth	0.685	-0.1189	5	14	84	5	2019
11	explainable ai	-0.4276	0.6352	2	7	20	3	2019.6667
12	explanation	-0.3789	0.5315	2	34	366	39	2019.1795
13	feature	-0.4469	0.1682	2	34	452	37	2017.7027
14	feature contribution	-0.8252	-0.2791	3	21	132	10	2016.2
15	fidelity	1.5287	-0.1994	5	13	75	4	2015
16	global explanation	-0.0702	0.706	2	9	24	3	2019
17	influence	-0.6695	-0.5657	3	18	63	4	2014.75
18	information	-0.1441	-0.2553	6	30	135	8	2017.125
19	input	0.1002	0.4475	1	18	73	5	2018.8
20	insight	0.4759	0.3153	1	18	41	4	2013
21	interaction	-0.4833	-0.4794	6	20	144	13	2014.8462
22	interactive visualization package	-0.0341	-0.7012	4	9	68	4	2018
23	interpretability	0.0255	0.2988	2	33	276	23	2018.8261
24	interpretable model	0.5454	0.2182	1	29	129	10	2017.8
25	lack	0.4337	0.4199	1	23	82	5	2019.2
26	large number	-1.1298	-0.0297	3	18	65	4	2015.25
27	local explanation	-0.5027	0.6373	2	14	117	11	2019.5455
28	oracle	1.5909	-0.2578	5	9	168	11	2015.1818
29	outcome	0.3145	0.478	1	21	72	4	2017.75
30	output	-0.6885	-0.1747	3	23	80	7	2016.5714
31	partial dependence	-0.5849	-0.4903	6	14	87	8	2019.375
32	prototype	-0.8233	-0.1103	3	7	35	5	2020
33	proximity	0.0604	-0.7336	4	11	65	5	2015.6
34	random forest	-0.2842	-0.107	3	47	1041	108	2016.4815
35	random forest similarity map	0.3923	0.1257	1	6	12	2	2021
36	reason	0.4422	0.6127	1	16	87	6	2016.3333
37	regression	-0.3392	-0.1282	4	33	215	16	2015.75
38	relationship	-0.1149	-0.3128	4	34	202	12	2016.6667
39	rule	0.3497	-0.0282	1	28	532	57	2017.5088
40	rule extraction	0.8177	-0.1056	1	16	168	13	2018.5385
41	shap	-0.981	0.3386	2	10	128	10	2020.4
42	sub forest	-1.5115	-0.1383	3	4	45	3	2009
43	surrogate model	-0.7464	0.7924	2	4	18	3	2020
44	tool	-0.094	0.0214	2	24	116	13	2019
45	transparent model	1.8755	-0.3314	5	4	108	6	2012
46	variable	-0.0878	-0.3798	6	29	387	30	2015.1
47	variable importance	-0.0329	-0.6099	6	21	144	13	2018.0769
48	visualization	0.1238	-0.1433	4	27	157	13	2018.8462
